timestamp,how_old_are_you,industry,job_title,additional_context_on_job_title,annual_salary,additional_monetary_comp,income_context,country,us_state,city,years_of_experience_in_field,years_of_experience_overall,highest_level_of_education,race,salary_was_imputed,salary_minmax,salary_robust,comp_standard,education_encoded,age_encoded,exp_field_encoded,exp_overall_encoded,gender_Non-binary,gender_Prefer not to say,gender_Woman,currency_CAD,currency_EUR,currency_GBP,currency_INR,currency_USD,industry_target_enc,salary_per_exp_year,total_comp,survey_year,survey_month,survey_dayofweek,survey_is_weekend
2021-04-12 16:11:47,45-54,Legal,legal counsel,none,56894.0,0.0,none,Unknown,N/A,Boston,21 - 30 years,21 - 30 years,College degree,Black or African American,0,0.16598427349631883,-0.4150166614015958,-0.4666212985712765,3.0,5.0,6.0,6.0,False,False,False,False,False,False,False,True,106871.19795728181,8127.714285714285,56894.0,2021.0,4.0,0.0,0
2021-04-25 09:28:06,25-34,Finance,investment analyst,none,144543.0,9839.0,none,United States,Washington,Unknown,8 - 10 years,8 - 10 years,College degree,Multiracial,0,0.530171523140698,1.3713505416229326,1.1182583160066197,3.0,3.0,4.0,4.0,False,False,False,False,False,False,False,True,112098.67001907267,28908.6,154382.0,2021.0,4.0,6.0,1
,25-34,Nonprofit,grant writer,none,52304.0,0.0,none,United States,Washington,Unknown,21 - 30 years,21 - 30 years,PhD,Prefer not to say,0,0.14691252737408472,-0.5085650813708207,-0.4666212985712765,6.0,3.0,6.0,6.0,False,False,True,False,False,False,False,False,56652.47421011452,7472.0,52304.0,,,,0
2021-04-21 03:36:47,55-64,Real Estate,real estate manager,none,51765.0,18454.0,none,United States,N/A,Los Angeles,2 - 4 years,2 - 4 years,Master's degree,Prefer not to say,0,0.14467294760068944,-0.519550396918405,2.505974331820074,4.0,6.0,2.0,2.0,False,False,False,False,False,False,False,False,75826.32961422717,17255.0,70219.0,2021.0,4.0,2.0,0
,35-44,Nursing,charge nurse,Senior level,133218.0,8424.0,none,Uk,N/A,Unknown,11 - 20 years,11 - 20 years,College degree,Prefer not to say,0,0.48311541751230974,1.1405366296073616,0.8903281752781186,3.0,4.0,5.0,5.0,False,False,True,False,False,False,False,True,85979.94017347855,22203.0,141642.0,,,,0
,25-34,Legal,attorney,Academic salary,42288.0,0.0,none,United Kingdom,N/A,Unknown,11 - 20 years,11 - 20 years,College degree,Multiracial,0,0.10529540119537072,-0.7127003699136868,-0.4666212985712765,3.0,3.0,5.0,5.0,False,False,False,False,False,False,False,True,106871.19795728181,7048.0,42288.0,,,,0
2021-04-27 08:44:28,under 18,Law,public defender,Contract role,169711.0,0.0,none,Australia,N/A,Unknown,11 - 20 years,11 - 20 years,Master's degree,Prefer not to say,0,0.6347461868453579,1.884297520661157,-0.4666212985712765,4.0,1.0,5.0,5.0,False,False,False,False,False,False,False,True,122354.23188627732,28285.166666666668,169711.0,2021.0,4.0,1.0,0
2021-04-29 10:50:38,18-24,Education (Higher Ed),dean,Commission based,65879.0,0.0,before tax,Canada,N/A,Unknown,11 - 20 years,11 - 20 years,Master's degree,Asian or Asian American,1,0.20331752816043075,-0.23189410074288452,-0.4666212985712765,4.0,2.0,5.0,5.0,False,False,True,False,False,False,False,True,68838.49596711004,10979.833333333334,65879.0,2021.0,4.0,3.0,0
2021-04-26 00:56:55,35-44,Architecture,urban planner,Academic salary,81826.0,0.0,none,United States,Florida,Unknown,8 - 10 years,8 - 10 years,Master's degree,Prefer not to say,0,0.2695783419755218,0.09312042066217607,-0.4666212985712765,4.0,4.0,4.0,4.0,True,False,False,False,False,False,False,True,80164.97773499455,16365.2,81826.0,2021.0,4.0,0.0,0
2021-04-21 01:49:06,25-34,Insurance,underwriter,Senior level,87166.0,0.0,none,United States,Texas,Portland,21 - 30 years,21 - 30 years,College degree,Prefer not to say,0,0.2917663864837419,0.20195453016885592,-0.4666212985712765,3.0,3.0,6.0,6.0,False,False,False,False,False,False,False,True,68254.26749306914,12452.285714285714,87166.0,2021.0,4.0,2.0,0
,25-34,HR/People Ops,hr manager,Contract role,72396.0,4992.0,none,United States,California,Unknown,11 - 20 years,11 - 20 years,College degree,Asian or Asian American,0,0.2303960836023915,-0.0990716491220919,0.33749690815429095,3.0,3.0,5.0,5.0,False,False,False,False,False,False,False,True,78749.3027916493,12066.0,77388.0,,,,0
2021-04-28 05:39:53,55-64,Government & Public Administration,policy analyst,none,71989.5,0.0,gross,Unknown,N/A,San Francisco,21 - 30 years,21 - 30 years,Master's degree,Another option not listed here,1,0.2287070498771871,-0.10735649285139252,-0.4666212985712765,4.0,6.0,6.0,6.0,True,False,False,False,False,False,False,False,74818.29048831394,10284.214285714286,71989.5,2021.0,4.0,2.0,0
,25-34,Architecture,project architect,Contract role,81577.0,1466.0,none,United States,Illinois,Unknown,11 - 20 years,11 - 20 years,Master's degree,Asian or Asian American,0,0.26854373091137446,0.088045571735741,-0.23047600789425687,4.0,3.0,5.0,5.0,False,False,False,False,False,False,False,False,80164.97773499455,13596.166666666666,83043.0,,,,0
2021-04-13 15:21:42,55-64,Hospitality,operations manager,none,53376.0,0.0,net,Unknown,N/A,Boston,8 - 10 years,8 - 10 years,Master's degree,Prefer not to say,1,0.15136675653378734,-0.48671673579195157,-0.4666212985712765,4.0,6.0,4.0,4.0,False,False,True,False,False,False,False,True,58418.15139348958,10675.2,53376.0,2021.0,4.0,1.0,0
2021-04-23 11:38:09,55-64,Nonprofit,outreach coordinator,none,54654.0,12009.0,none,Unknown,N/A,Unknown,8 - 10 years,8 - 10 years,College degree,Multiracial,0,0.15667692898350744,-0.4606699208201282,1.4678048922475015,3.0,6.0,4.0,4.0,False,False,False,False,False,False,False,True,56652.47421011452,10930.8,66663.0,2021.0,4.0,4.0,0
2021-04-27 14:30:32,45-54,Real Estate,property manager,Commission based,39066.0,0.0,none,United States,Colorado,Unknown,1 year or less,1 year or less,Master's degree,Multiracial,0,0.091907783329175,-0.7783676921665936,-0.4666212985712765,4.0,5.0,1.0,1.0,False,False,False,False,False,True,False,False,75826.32961422717,19533.0,39066.0,2021.0,4.0,1.0,0
